               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.024014,            0.027438,           0.0051376,              0.6176,             0.66982,             0.68749,             0.56675,            0.029989,             0.11571,            0.058693,             0.00406,             0.00406,             0.00406
                  38,            0.023624,            0.028364,           0.0052491,             0.77384,             0.67443,             0.77266,             0.63047,            0.027768,             0.11309,            0.048508,            0.003895,            0.003895,            0.003895
                  39,            0.023216,            0.027735,           0.0051499,             0.69458,             0.70854,             0.76618,             0.63725,            0.025851,             0.10647,            0.050363,             0.00373,             0.00373,             0.00373
                  40,            0.023075,             0.02686,           0.0050076,             0.67594,             0.66855,             0.72992,             0.61668,            0.026856,             0.11207,            0.048473,            0.003565,            0.003565,            0.003565
                  41,            0.022738,            0.025864,            0.004638,             0.71215,             0.69054,             0.71375,             0.58404,            0.027879,             0.11293,            0.061565,              0.0034,              0.0034,              0.0034
                  42,            0.022567,            0.025379,           0.0046275,             0.74604,             0.70841,             0.75379,              0.6333,             0.02804,             0.11524,            0.059062,            0.003235,            0.003235,            0.003235
                  43,            0.022154,            0.025329,           0.0042319,             0.70527,             0.71701,             0.71129,             0.59685,            0.025308,             0.10751,            0.043348,             0.00307,             0.00307,             0.00307
                  44,            0.021677,            0.025138,           0.0040506,             0.75125,             0.73228,              0.7722,             0.63971,            0.027693,             0.11649,            0.049331,            0.002905,            0.002905,            0.002905
                  45,            0.020968,            0.025471,           0.0043904,              0.6455,             0.78737,             0.78638,             0.66085,            0.027043,             0.10934,            0.040589,             0.00274,             0.00274,             0.00274
                  46,            0.021056,             0.02455,           0.0037552,             0.75538,             0.74528,             0.77969,             0.65085,            0.025486,             0.11034,            0.048085,            0.002575,            0.002575,            0.002575
                  47,            0.020879,            0.024458,           0.0037154,             0.82305,             0.72333,             0.80519,             0.68348,            0.025177,             0.10624,            0.051118,             0.00241,             0.00241,             0.00241
                  48,            0.020463,            0.025883,           0.0036001,             0.67268,             0.71793,             0.73171,             0.60495,            0.024818,             0.10883,            0.057985,            0.002245,            0.002245,            0.002245
                  49,            0.020089,            0.023622,           0.0033351,             0.73671,             0.77639,             0.79597,             0.67806,            0.025203,             0.10799,            0.042489,             0.00208,             0.00208,             0.00208
                  50,              0.0198,            0.024535,           0.0034021,             0.76545,              0.6523,             0.77186,             0.64872,            0.025764,             0.11135,            0.049779,            0.001915,            0.001915,            0.001915
                  51,            0.019134,            0.023505,           0.0028807,             0.79546,             0.67019,             0.80122,             0.67115,            0.025408,             0.10863,            0.049629,             0.00175,             0.00175,             0.00175
                  52,            0.019287,            0.022564,           0.0031632,             0.78175,             0.70256,             0.80236,             0.68215,            0.024544,             0.10225,            0.054678,            0.001585,            0.001585,            0.001585
                  53,            0.018748,            0.024308,           0.0028425,             0.73427,             0.70794,             0.74207,             0.63541,            0.024067,              0.1021,            0.056619,             0.00142,             0.00142,             0.00142
                  54,            0.018464,            0.023568,           0.0023968,             0.76966,             0.69911,             0.77926,             0.65866,            0.025393,             0.10715,              0.0565,            0.001255,            0.001255,            0.001255
                  55,             0.01793,            0.022106,           0.0026098,             0.79865,              0.7525,             0.83126,              0.7124,            0.024807,             0.10541,            0.049295,             0.00109,             0.00109,             0.00109
                  56,             0.01792,            0.021883,           0.0026962,             0.82351,             0.74577,             0.82883,             0.71513,            0.023994,             0.10531,            0.047886,            0.000925,            0.000925,            0.000925
                  57,            0.017635,            0.021128,           0.0025308,             0.81692,             0.72791,             0.81909,             0.70612,            0.023842,             0.10497,            0.057066,             0.00076,             0.00076,             0.00076
                  58,            0.017771,            0.022715,           0.0022152,             0.82482,             0.72482,             0.82201,             0.70279,            0.024263,             0.10748,            0.050504,            0.000595,            0.000595,            0.000595
                  59,            0.017263,            0.022251,           0.0023101,             0.80597,             0.69874,             0.79934,             0.69486,            0.024116,             0.10712,            0.058222,             0.00043,             0.00043,             0.00043
